timestamp,src_ip,dst_ip,dst_port,bytes_out,bytes_in,status_code,endpoint,protocol,duration_sec,failed_logins_1min,unique_dst_ips_5min,connection_interval_std,bytes_out_per_min,same_dst_ip_streak,is_external_dst,hour_of_day,label
2026-04-17T02:14:06.759028,10.0.4.4,10.0.9.34,3000,839,3435,301,/profile,TCP,0.25,0,1,99.82,1028,0,0,0,benign
2026-04-17T15:05:41.206449,10.0.13.30,10.0.12.23,80,4243,9773,200,/logout,TCP,2.82,0,1,40.0,2213,1,0,13,benign
2026-04-17T16:59:34.501235,10.0.11.56,10.0.7.5,8080,2412,1609,200,/api/cart,TCP,4.69,0,2,71.93,2004,1,0,14,benign
2026-04-17T20:17:50.242812,10.0.11.59,10.0.14.20,443,6507,20594,500,/search,TCP,3.52,0,2,110.12,1412,0,0,18,benign
2026-04-17T12:44:58.405003,10.0.8.34,10.0.6.22,3000,2254,1928,200,/api/products,TCP,1.46,0,2,41.17,454,2,0,10,benign
2026-04-17T19:44:08.230924,10.0.14.5,10.0.6.8,443,26443,6892,200,/api/data,UDP,4.27,0,3,71.82,144,1,0,17,benign
2026-04-17T07:55:05.201104,10.0.7.37,10.0.10.39,443,6909,4182,200,/api/products,UDP,4.35,0,1,102.04,1378,2,0,5,benign
2026-04-17T03:01:38.806840,10.0.2.77,91.108.4.200,443,191708,623,200,/api/sync,TCP,4.95,0,1,11.77,173939,124,1,1,data_exfiltration
2026-04-17T04:15:38.566764,10.0.9.39,10.0.8.58,80,5804,2929,200,/api/user,TCP,3.86,0,2,22.05,601,1,0,2,benign
2026-04-17T02:05:42.174649,10.0.0.200,10.0.6.12,443,107,35,403,/,TCP,0.029,0,50,1.092,7734,0,0,2,benign
2026-04-17T15:26:23.713340,10.0.0.25,10.0.14.43,443,1863,22505,200,/api/products,TCP,1.47,0,4,111.87,1758,2,0,13,benign
2026-04-17T18:52:53.078335,10.0.4.3,10.0.7.40,8080,3160,968,200,/logout,TCP,5.37,0,4,17.87,917,0,0,16,benign
2026-04-17T05:57:27.410035,10.0.6.25,10.0.5.19,443,9941,9018,200,/static/css,TCP,6.47,0,4,46.55,816,0,0,3,benign
2026-04-17T15:37:05.692267,10.0.8.40,10.0.8.42,443,751,25898,200,/api/data,TCP,7.16,0,3,114.03,1652,1,0,13,benign
2026-04-17T13:54:40.635158,10.0.2.1,10.0.10.47,80,3340,3073,200,/api/cart,UDP,0.39,0,2,101.84,880,2,0,11,benign
2026-04-17T12:05:33.307985,10.0.0.19,10.0.2.1,443,3320,12651,200,/api/data,TCP,7.91,0,2,49.32,3309,0,0,10,benign
2026-04-17T13:56:06.605352,10.0.6.4,10.0.9.52,443,256,2888,200,/api/cart,TCP,7.64,0,4,108.27,188,1,0,11,benign
2026-04-17T12:16:42.139885,10.0.9.31,10.0.10.7,8080,4655,1656,200,/dashboard,UDP,1.52,0,1,51.9,622,1,0,10,benign
2026-04-17T02:16:16.120700,10.0.6.46,10.0.8.20,3000,1995,9109,301,/profile,TCP,3.49,0,3,24.0,1120,0,0,0,benign
2026-04-17T19:18:25.124408,10.0.6.24,10.0.5.54,443,2344,2009,200,/logout,TCP,5.37,0,4,54.61,881,1,0,17,benign
